chapter,pair,dA,dB,delta_AB,delta_A,delta_B,delta_0,interaction,se,n_items
3,mistranslation+omission,20%,20%,0.5621465803115995,0.04717379830710891,-0.6813433582999915,-1.0701990097750391,0.12611713052944296,1.6352187820628472,14
4,grammar+omission,10%,10%,0.5351194812178063,0.7072149407776106,0.14438367974905086,0.17366029394621577,-0.14281884536263945,0.7307364928470085,36
4,grammar+omission,10%,20%,1.0847450390172475,0.7072149407776106,0.2997414946056945,0.17366029394621577,0.25144889758015815,0.7227941189530447,31
4,grammar+omission,20%,10%,0.7706453118452028,1.0600196810301072,0.14438367974905086,0.17366029394621577,-0.26009775498773957,0.7109848280828222,36
4,grammar+omission,20%,20%,1.2557698274390028,1.0600196810301072,0.2997414946056945,0.17366029394621577,0.06966894574941679,0.6878259343218174,36
4,mistranslation+addition,10%,bad_10%,-0.0720917631276925,0.14438367974905086,0.4439158565628323,0.5135392247239969,-0.1468520747155787,0.8190011501796347,28
4,mistranslation+addition,10%,bad_20%,0.04203761458105844,0.14438367974905086,0.2997414946056945,0.5135392247239969,0.11145166495031006,0.825488485908744,27
4,mistranslation+omission,10%,10%,-0.11516869513715855,0.14438367974905086,0.14438367974905086,0.17366029394621585,-0.23027576068904443,0.8594162412997803,27
4,mistranslation+omission,10%,20%,1.5512817138320034,0.14438367974905086,0.2997414946056945,0.17366029394621585,1.2808168334234742,0.7304752216232586,32
4,mistranslation+addition,20%,bad_10%,1.3822585592992112,1.588838181750192,0.4439158565628323,0.5135392247239969,-0.13695625428981617,0.695850547065317,26
4,mistranslation+addition,20%,bad_20%,1.8357135740709158,1.588838181750192,0.2997414946056945,0.5135392247239969,0.4606731224390263,0.6796554799337859,31
4,mistranslation+omission,20%,10%,1.3800362144248794,1.588838181750192,0.14438367974905086,0.17366029394621585,-0.17952535312814744,0.7384044988449023,23
4,mistranslation+omission,20%,20%,1.4509492401842814,1.588838181750192,0.2997414946056945,0.17366029394621585,-0.26397014222538934,0.7394864283506191,21
5,grammar+omission,10%,10%,-0.35166254872603825,0.01571425534852578,-1.6797876448454252,-0.6504700578123896,0.6619407829584714,1.368643967055372,15
5,grammar+omission,10%,20%,0.525500466524591,0.01571425534852578,-0.2675753564344124,-0.6504700578123896,0.126891509798088,1.0542988789624608,18
