model,method,chapter,delta,se,n,acc
llama 1b,llm_prompt_medium,1,-0.2930588633798497,0.4338536063276213,22,0.5454545454545454
llama 1b,llm_prompt_medium,2,0.13139362314370173,0.582881708246766,12,0.4166666666666667
llama 1b,llm_prompt_medium,3,0.1734417219333845,0.7506856043222706,7,0.42857142857142855
llama 1b,llm_prompt_medium,4,0.31209855434249967,0.4478485857711034,22,0.36363636363636365
llama 1b,llm_prompt_medium,5,-0.6417758051545805,0.5681178081674919,13,0.5384615384615384
llama 1b,llm_prompt_medium,6,0.11186799897822376,0.732677714261497,8,0.375
llama 1b,mBART-50,1,0.2703078190235037,0.4377797697852373,22,0.4090909090909091
llama 1b,mBART-50,2,-0.5377315641128235,0.583413091944501,12,0.5833333333333334
llama 1b,mBART-50,3,-0.38521314258137274,0.7524817283647912,7,0.5714285714285714
llama 1b,mBART-50,4,-0.07513292577097166,0.4346369517897954,22,0.45454545454545453
llama 1b,mBART-50,5,1.2397804734368063,0.7411945009918651,13,0.15384615384615385
llama 1b,mBART-50,6,0.11186799897822369,0.732677714261497,8,0.375
llama 1b,mBART-50,7,1.673344360725045,0.94126087556001,9,0.1111111111111111
llama 1b,nllb-200-1.3B,1,0.0809277189199822,0.4331556446347414,22,0.45454545454545453
llama 1b,nllb-200-1.3B,2,0.48280892027380007,0.6056614433923309,12,0.3333333333333333
llama 1b,nllb-200-1.3B,3,-0.9869314193384925,0.8094706520026475,7,0.7142857142857143
llama 1b,nllb-200-1.3B,4,-0.45142048816388886,0.43500932211669374,22,0.5454545454545454
llama 1b,nllb-200-1.3B,5,-0.9694149969733457,0.578671791860341,13,0.6153846153846154
llama 1b,nllb-200-1.3B,6,-0.40625159022147056,0.7130863194027608,8,0.5
llama 1b,nllb-200-1.3B,7,0.43338782999291475,0.6948234753127718,9,0.3333333333333333
llama 1b,nllb-200-1.3B,8,-1.342071385676115,0.6930018305062008,9,0.6666666666666666
llama 1b,nllb-200-distilled-600M,1,-0.679869541698578,0.44812338026536197,22,0.6363636363636364
llama 1b,nllb-200-distilled-600M,2,0.8747584955884423,0.6508448706075793,12,0.25
llama 1b,nllb-200-distilled-600M,3,1.5318901655181199,0.9652428415469364,7,0.14285714285714285
llama 1b,nllb-200-distilled-600M,4,-0.07513292577097172,0.4346369517897954,22,0.45454545454545453
llama 1b,nllb-200-distilled-600M,5,0.3618498530506393,0.6077063326794687,13,0.3076923076923077
llama 1b,nllb-200-distilled-600M,6,0.6911218812031051,0.799183371291403,8,0.25
llama 1b,nllb-200-distilled-600M,7,-0.025426794367780895,0.6654026469062618,9,0.4444444444444444
1.5b,google_word_by_word,1,0.8921207893041716,0.44029373120830034,22,0.5909090909090909
1.5b,google_word_by_word,2,1.484181220145536,0.5808525534862872,12,0.4166666666666667
1.5b,google_word_by_word,3,0.9314668786918687,0.757327213147216,7,0.5714285714285714
1.5b,google_word_by_word,4,0.7327111331363108,0.44120453835033246,22,0.5909090909090909
1.5b,google_word_by_word,5,0.7134025800132957,0.5689871739885372,13,0.5384615384615384
1.5b,google_word_by_word,6,0.9199887540488201,0.7132461101161668,8,0.5
1.5b,google_word_by_word,7,2.946414796414529,0.9024223755123197,9,0.1111111111111111
1.5b,google_word_by_word,8,-0.012196336397841666,0.7003341983637501,9,0.6666666666666666
1.5b,helsinki,1,0.48586508558563496,0.4640087588567604,22,0.6818181818181818
1.5b,helsinki,2,0.45774663758294043,0.6117695470961695,12,0.6666666666666666
1.5b,helsinki,3,0.31444325572452636,0.8251704426642672,7,0.7142857142857143
1.5b,helsinki,4,0.9246476009588953,0.435580403049388,22,0.5454545454545454
1.5b,helsinki,5,-0.36614184630987345,0.6569619408540989,13,0.7692307692307693
1.5b,helsinki,6,-0.96244419001718,0.9834193721606036,8,0.875
1.5b,helsinki,7,-0.8921835805842261,0.9737028674220611,9,0.8888888888888888
