model,method,chapter,delta,se,n,acc
llama 1b,nllb-200-1.3B,,0.4059837646626839,0.2095864490455479,102,0.6274509803921569
llama 1b,nllb-200-distilled-600M,,1.806006707618754,0.22677125406834214,93,0.3118279569892473
1.5b,google_word_by_word,,0.136701068457671,0.2488724891286831,102,0.7941176470588235
1.5b,helsinki,,0.0083508843520469,0.2580240160842878,102,0.8137254901960784
1.5b,llm_prompt_high,,-0.05956344687389297,0.2632555578602293,102,0.8235294117647058
1.5b,llm_prompt_low,,-0.20442275056402054,0.2753518270017803,102,0.8431372549019608
1.5b,llm_prompt_medium,,-0.05956344687389307,0.2632555578602293,102,0.8235294117647058
1.5b,mBART-50,,0.579774499789479,0.22416095253709603,102,0.7156862745098039
1.5b,nllb-200-1.3B,,0.36976581594785235,0.23459547591484395,102,0.7549019607843137
1.5b,nllb-200-distilled-600M,,0.36976581594785235,0.23459547591484395,102,0.7549019607843137
1.7b,google_word_by_word,,0.5069105974315062,0.28304814479880935,102,0.8529411764705882
1.7b,helsinki,,0.3255285149870965,0.3404075798698483,80,0.875
1.7b,llm_prompt_high,,-0.20859153238555364,0.36837434919503614,102,0.9215686274509803
1.7b,llm_prompt_low,,0.5069105974315063,0.28304814479880935,102,0.8529411764705882
1.7b,llm_prompt_medium,,0.24444153265176677,0.3099256289745297,102,0.8823529411764706
1.7b,mBART-50,,0.5849979345016989,0.2759449162365984,102,0.8431372549019608
1.7b,nllb-200-1.3B,,-0.07971686940675346,0.3500739905012422,102,0.9117647058823529
1.7b,nllb-200-distilled-600M,,-0.24179856977280376,0.39303747807297057,90,0.9222222222222223
